nanoseconds,logic,logic
0,1,1
83,1,1
166,1,1
250,1,1
333,1,1
416,1,1
500,1,1
583,1,1
666,1,1
750,1,1
833,1,1
916,1,1
1000,1,1
1083,1,1
1166,1,1
1250,1,1
1333,1,1
1416,1,1
1500,1,1
1583,1,1
1666,1,1
1750,1,1
1833,1,1
1916,1,1
2000,1,1
2083,1,1
2166,1,1
2250,1,1
2333,1,1
2416,1,1
2500,1,1
2583,1,1
2666,1,1
2750,1,1
2833,1,1
2916,1,1
3000,1,1
3083,1,1
3166,1,1
3250,0,1
3333,0,1
3416,0,1
3500,0,1
3583,0,1
3666,0,1
3750,0,1
3833,0,1
3916,0,1
4000,0,0
4083,0,0
4166,0,0
4250,0,0
4333,0,0
4416,0,0
4500,0,0
4583,0,0
4666,0,0
4750,0,0
4833,0,0
4916,0,0
5000,0,0
5083,0,0
5166,0,0
5250,0,0
5333,0,0
5416,0,0
5500,0,0
5583,0,0
5666,0,0
5750,0,0
5833,0,0
5916,0,0
6000,0,0
6083,0,0
6166,0,0
6250,0,0
6333,1,0
6416,1,0
6500,1,0
6583,1,0
6666,1,0
6750,1,0
6833,1,0
6916,1,0
7000,1,0
7083,1,1
7166,1,1
7250,1,1
7333,1,1
7416,1,1
7500,1,1
7583,1,1
7666,1,1
7750,1,1
7833,1,1
7916,1,1
8000,1,0
8083,1,0
8166,1,0
8250,1,0
8333,1,0
8416,1,0
8500,1,0
8583,1,0
8666,1,0
8750,1,0
8833,1,0
8916,1,1
9000,1,1
9083,1,1
9166,1,1
9250,1,1
9333,1,1
9416,1,1
9500,1,1
9583,1,1
9666,1,1
9750,1,1
9833,1,1
9916,1,0
10000,0,0
10083,0,0
10166,0,0
10250,0,0
10333,0,0
10416,0,0
10500,0,0
10583,0,0
10666,0,0
10750,0,0
10833,0,1
10916,0,1
11000,0,1
11083,0,1
11166,0,1
11250,0,1
11333,0,1
11416,0,1
11500,0,1
11583,0,1
11666,0,1
11750,0,0
11833,0,0
11916,0,0
12000,1,0
12083,1,0
12166,1,0
12250,1,0
12333,1,0
12416,1,0
12500,1,0
12583,1,0
12666,1,1
12750,1,1
12833,1,1
12916,1,1
13000,1,1
13083,1,1
13166,1,1
13250,1,1
13333,1,1
13416,1,1
13500,1,1
13583,1,1
13666,1,0
13750,0,0
13833,0,0
13916,0,0
14000,0,0
14083,0,0
14166,0,0
14250,0,0
14333,0,0
14416,0,0
14500,0,0
14583,0,1
14666,0,1
14750,0,1
14833,0,1
14916,0,1
15000,0,1
15083,0,1
15166,0,1
15250,0,1
15333,0,1
